regularization,gamma,kernel,stopwords,n_grams,err,time
0.75,0.01,linear,None,1,0.6130144097182583,1.4583253065745037
0.75,0.01,poly,None,1,0.301877934977622,1.6968235969543457
0.75,0.01,rbf,None,1,0.26353641541405315,1.7265191872914631
0.75,0.01,sigmoid,None,1,0.6247256891831897,0.7994194825490316
0.75,0.1,linear,None,1,0.6130144097182583,1.46574870745341
0.75,0.1,poly,None,1,0.301877934977622,1.6934195359547932
0.75,0.1,rbf,None,1,0.2590584912826975,1.5264331499735515
0.75,0.1,sigmoid,None,1,0.49932371938005415,0.8269383112589518
1,1e-05,linear,None,1,0.6130144097182583,1.4586787223815918
1,1e-05,poly,None,1,0.24781783451651332,1.1684433619181316
1,1e-05,rbf,None,1,0.24781783451651332,1.448318640391032
1,1e-05,sigmoid,None,1,0.24781783451651332,1.4571889241536458
1,0.0001,linear,None,1,0.6130144097182583,1.46543550491333
1,0.0001,poly,None,1,0.2611692671710237,1.48576553662618
1,0.0001,rbf,None,1,0.39889626588925947,1.486777702967326
1,0.0001,sigmoid,None,1,0.41572062632166107,1.4876414934794109
1,0.001,linear,None,1,0.6130144097182583,1.4646896521250408
1,0.001,poly,None,1,0.2507854114843441,1.678717851638794
1,0.001,rbf,None,1,0.33720295811246687,1.5361390908559163
1,0.001,sigmoid,None,1,0.6110746193966848,0.9981037775675455
1,0.01,linear,None,1,0.6130144097182583,1.4619003136952717
1,0.01,poly,None,1,0.301877934977622,1.6925636132558186
1,0.01,rbf,None,1,0.27394157597100754,1.7459393342336018
1,0.01,sigmoid,None,1,0.619294459659656,0.779330333073934
1,0.1,linear,None,1,0.6130144097182583,1.4624354044596355
1,0.1,poly,None,1,0.301877934977622,1.705122709274292
1,0.1,rbf,None,1,0.2596280598331056,1.537444035212199
1,0.1,sigmoid,None,1,0.49814707631070493,0.7993000348409017
1.1,1e-05,linear,None,1,0.6127415005814761,1.4665054480234783
1.1,1e-05,poly,None,1,0.24781783451651332,1.1913933753967285
1.1,1e-05,rbf,None,1,0.24781783451651332,1.4474383195241292
1.1,1e-05,sigmoid,None,1,0.24781783451651332,1.46656600634257
1.1,0.0001,linear,None,1,0.6127415005814761,1.464590311050415
1.1,0.0001,poly,None,1,0.26087394178681583,1.4889576435089111
1.1,0.0001,rbf,None,1,0.42611117274535076,1.4891857306162517
1.1,0.0001,sigmoid,None,1,0.45563727274611737,1.488955020904541
1.1,0.001,linear,None,1,0.6127415005814761,1.4629339377085369
1.1,0.001,poly,None,1,0.25215855681909166,1.682176987330119
1.1,0.001,rbf,None,1,0.3406925961598854,1.5592110951741536
1.1,0.001,sigmoid,None,1,0.6101324618018584,0.9770743052164713
1.1,0.01,linear,None,1,0.6127415005814761,1.4716250896453857
1.1,0.01,poly,None,1,0.301877934977622,1.6905200481414795
1.1,0.01,rbf,None,1,0.2759159566587904,1.781429688135783
1.1,0.01,sigmoid,None,1,0.6225005625095759,0.753669261932373
1.1,0.1,linear,None,1,0.6127415005814761,1.464673121770223
1.1,0.1,poly,None,1,0.301877934977622,1.8286584218343098
1.1,0.1,rbf,None,1,0.2596280598331056,1.57682998975118
1.1,0.1,sigmoid,None,1,0.4933976501413278,0.8476166725158691
1.5,1e-05,linear,None,1,0.6129453157567247,1.4689122835795085
1.5,1e-05,poly,None,1,0.24781783451651332,1.2300573984781902
1.5,1e-05,rbf,None,1,0.24781783451651332,1.4508596261342366
1.5,1e-05,sigmoid,None,1,0.24781783451651332,1.4628130594889324
1.5,0.0001,linear,None,1,0.6129453157567247,1.456800063451131
1.5,0.0001,poly,None,1,0.26201062223952365,1.4999361832936604
1.5,0.0001,rbf,None,1,0.5141719019171845,1.5156938234965007
1.5,0.0001,sigmoid,None,1,0.5578567507949781,1.51412828763326
1.5,0.001,linear,None,1,0.6129453157567247,1.4617865880330403
1.5,0.001,poly,None,1,0.2645446825580287,1.683232307434082
1.5,0.001,rbf,None,1,0.35067299858156864,1.596826155980428
1.5,0.001,sigmoid,None,1,0.5900384011924001,0.9525896708170573
1.5,0.01,linear,None,1,0.6129453157567247,1.4633294741312664
1.5,0.01,poly,None,1,0.301877934977622,1.6883193651835124
1.5,0.01,rbf,None,1,0.28393664644604377,1.9047345320383708
1.5,0.01,sigmoid,None,1,0.6152009402659876,0.7218526204427084
1.5,0.1,linear,None,1,0.6129453157567247,1.463253339131673
1.5,0.1,poly,None,1,0.301877934977622,1.7006304264068604
1.5,0.1,rbf,None,1,0.2596280598331056,1.5990323225657146
1.5,0.1,sigmoid,None,1,0.4992828822460706,0.7892464796702067
2,1e-05,linear,None,1,0.6127188953624155,1.4646869500478108
