regularization,gamma,kernel,stopwords,n_grams,err,time
0.75,0.01,poly,None,1,0.22401798740914491,3.6741370360056558
0.75,0.01,rbf,None,1,0.2784534353889522,4.606622139612834
0.75,0.01,sigmoid,None,1,0.5397532872949661,1.8362996578216553
0.75,0.1,linear,None,1,0.6125858371091023,2.9713688691457114
0.75,0.1,poly,None,1,0.22401798740914491,3.67652694384257
0.75,0.1,rbf,None,1,0.2596280598331056,4.288842837015788
0.75,0.1,sigmoid,None,1,0.3688226310315499,2.455554405848185
1,1e-05,linear,None,1,0.6123348079654529,2.973545948664347
1,1e-05,poly,None,1,0.11630024117043297,4.114139636357625
1,1e-05,rbf,None,1,0.3494293735855612,3.91744335492452
1,1e-05,sigmoid,None,1,0.382288247255208,4.291094144185384
1,0.0001,linear,None,1,0.6123348079654529,2.968825101852417
1,0.0001,poly,None,1,0.15437403432382665,4.070785204569499
1,0.0001,rbf,None,1,0.5204539620283528,3.3669748306274414
1,0.0001,sigmoid,None,1,0.6000771723389086,3.270582358042399
1,0.001,linear,None,1,0.6123348079654529,2.968946854273478
1,0.001,poly,None,1,0.21561855244410544,3.6829399267832437
1,0.001,rbf,None,1,0.3630221270745179,4.108290433883667
1,0.001,sigmoid,None,1,0.5949859662996987,1.866455078125
1,0.01,linear,None,1,0.6123348079654529,2.9657839139302573
1,0.01,poly,None,1,0.22401798740914491,3.6710732777913413
1,0.01,rbf,None,1,0.2891007460902751,4.938368717829387
1,0.01,sigmoid,None,1,0.5386861687956358,1.7954856554667156
1,0.1,linear,None,1,0.6123348079654529,2.9826462268829346
1,0.1,poly,None,1,0.22401798740914491,3.7038447062174478
1,0.1,rbf,None,1,0.2631410293256036,5.865770578384399
1,0.1,sigmoid,None,1,0.36622687939228116,3.5453073978424072
1.1,1e-05,linear,None,1,0.6123348079654529,4.775831937789917
1.1,1e-05,poly,None,1,0.11630024117043297,4.861019929250081
1.1,1e-05,rbf,None,1,0.3677774943117216,4.764844338099162
1.1,1e-05,sigmoid,None,1,0.382288247255208,4.345966577529907
1.1,0.0001,linear,None,1,0.6123348079654529,2.9636919498443604
1.1,0.0001,poly,None,1,0.15519929892065504,4.055548906326294
1.1,0.0001,rbf,None,1,0.5291614885612507,3.35686461130778
1.1,0.0001,sigmoid,None,1,0.6057236040628916,3.229062000910441
1.1,0.001,linear,None,1,0.6123348079654529,2.966517766316732
1.1,0.001,poly,None,1,0.21517822678791823,3.6824240684509277
1.1,0.001,rbf,None,1,0.36680990912194705,4.155863364537557
1.1,0.001,sigmoid,None,1,0.586382679520114,1.8270183404286702
1.1,0.01,linear,None,1,0.6123348079654529,2.9691556294759116
1.1,0.01,poly,None,1,0.22401798740914491,3.651397387186686
1.1,0.01,rbf,None,1,0.29228721467097807,5.073984384536743
1.1,0.01,sigmoid,None,1,0.5339126485468966,1.768847942352295
1.1,0.1,linear,None,1,0.6123348079654529,2.9647902647654214
1.1,0.1,poly,None,1,0.22401798740914491,3.6582839488983154
1.1,0.1,rbf,None,1,0.26471783042628233,4.54262359937032
1.1,0.1,sigmoid,None,1,0.36847944201654054,2.4470497767130532
1.5,1e-05,linear,None,1,0.6123348079654529,2.968184312184652
1.5,1e-05,poly,None,1,0.11630024117043297,4.116822322209676
1.5,1e-05,rbf,None,1,0.41931252961807264,3.7743298212687173
1.5,1e-05,sigmoid,None,1,0.38344913575844003,4.2407740751902265
1.5,0.0001,linear,None,1,0.6123348079654529,2.9671913782755532
1.5,0.0001,poly,None,1,0.16105825888344683,4.033458312352498
1.5,0.0001,rbf,None,1,0.559105745658992,3.5996652444203696
1.5,0.0001,sigmoid,None,1,0.6104252107040788,3.256510575612386
1.5,0.001,linear,None,1,0.6123348079654529,2.964793602625529
1.5,0.001,poly,None,1,0.21551080809295597,3.7264970938364663
1.5,0.001,rbf,None,1,0.3694773125059092,4.201529582341512
1.5,0.001,sigmoid,None,1,0.5788082870875576,1.7121174335479736
1.5,0.01,linear,None,1,0.6123348079654529,2.96274463335673
1.5,0.01,poly,None,1,0.22401798740914491,3.6600709756215415
1.5,0.01,rbf,None,1,0.29228721467097807,7.210309982299805
