hidden_layers,hidden_size,learning_rate,stopwords,ngrams,err,time
100,100,1,None,2,0.4121014470542257,43.96786244710287
100,1000,0.01,None,2,0.5674866678152076,153.7713290055593
100,1000,0.05,None,2,0.5576614893848314,66.46284357706706
100,1000,0.1,None,2,0.5382080636601304,44.257615407307945
100,1000,0.5,None,2,0.42369521409909844,47.459609031677246
100,1000,1,None,2,0.3811178434916372,23.962824662526447
1000,1,0.01,None,2,0.5675427007004684,151.1507531007131
1000,1,0.05,None,2,0.5665723441528149,65.84269762039185
1000,1,0.1,None,2,0.547515767611631,57.07825469970703
1000,1,0.5,None,2,0.4077921199166385,23.41622018814087
1000,1,1,None,2,0.445955065884777,41.17739407221476
1000,10,0.01,None,2,0.5616643414900825,151.36794503529867
1000,10,0.05,None,2,0.5653368787771359,84.82249244054158
1000,10,0.1,None,2,0.5486580260531991,50.330262422561646
1000,10,0.5,None,2,0.4008111389412559,37.31999842325846
1000,10,1,None,2,0.34508328918137315,40.36945525805155
1000,100,0.01,None,2,0.5475643779026772,153.40209333101907
1000,100,0.05,None,2,0.5551475503967072,68.78281903266907
1000,100,0.1,None,2,0.5565813340617833,57.566900650660195
1000,100,0.5,None,2,0.4381196870707568,27.80559277534485
1000,100,1,None,2,0.3366486816844274,43.23621074358622
1000,1000,0.01,None,2,0.5681909572918862,153.60394628842673
1000,1000,0.05,None,2,0.5600006730037289,83.55192065238953
1000,1000,0.1,None,2,0.538036671743025,60.14688094456991
1000,1000,0.5,None,2,0.42415366077356725,51.23630507787069
1000,1000,1,None,2,0.3094111524832043,63.91015330950419
1,1,0.01,english,1,0.5892249018234716,51.80470061302185
1,1,0.05,english,1,0.5809707701777077,16.47551965713501
1,1,0.1,english,1,0.5728791520909168,15.104485193888346
1,1,0.5,english,1,0.47495949655861597,19.49206829071045
1,1,1,english,1,0.46143943576793794,11.142831802368164
1,10,0.01,english,1,0.5933619796634719,50.70221225420634
1,10,0.05,english,1,0.5852564868110394,15.433588663736979
1,10,0.1,english,1,0.5747125941409311,11.864573955535889
1,10,0.5,english,1,0.48939729169404494,17.003820260365803
1,10,1,english,1,0.42494745906171766,13.592044671376547
1,100,0.01,english,1,0.6004930042930555,51.49573071797689
1,100,0.05,english,1,0.5784742443854062,15.81783095995585
1,100,0.1,english,1,0.5887382223518145,14.745568037033081
1,100,0.5,english,1,0.4738367175604954,16.595650911331177
1,100,1,english,1,0.42013417129430625,11.52118961016337
1,1000,0.01,english,1,0.5914252078016727,50.46277666091919
1,1000,0.05,english,1,0.5874299742116684,15.51805075009664
